N: 100
H: 20.000000
W: 20.000000
Separation: 0.050000
Separation Strength: 0.010000
Alignment Strength: 0.100000
Cohesion Strength: 0.010000
Max Velocity: 5.000000
Final Time: 0.005000
Delta t: 0.001000
Frame Delta t: 0.001000
Filename: 04-27-2022_15-43-41.out
#,vX,vY,pX,pY


t = 0.000000
20,0.031112,0.294632,6.947439,18.660832 
21,-1.199159,1.822578,6.361747,2.642441 
22,-0.653196,0.298228,12.162833,5.101702 
23,1.378055,-1.118213,13.513731,5.374612 
24,-4.304120,-1.932505,11.945636,8.199354 
25,-1.317816,-2.617669,5.803139,14.579503 
26,-1.616349,-3.296954,1.568014,12.200960 
27,0.327461,0.442039,3.876459,19.834333 
28,0.964365,-0.550679,5.864272,9.014395 
29,0.178082,-0.256428,17.038509,7.396715 
30,-1.920168,-0.614935,5.869555,15.181345 
31,-0.044274,0.135607,10.162447,12.331332 
32,0.950136,4.259746,11.722781,12.757291 
33,-1.564811,-0.057061,10.420063,11.058611 
34,1.321586,-1.392791,10.564644,19.566169 
35,-3.095675,1.643996,18.784912,17.194921 
36,-0.041186,-0.024841,9.878004,11.918658 
37,-2.331348,3.919327,15.937878,17.282469 
38,1.627493,1.551616,8.371518,2.581431 
39,1.755562,-1.607368,7.450080,8.598164 
40,0.250732,-0.410092,8.740442,4.056831 
41,-0.711689,-1.067592,15.298190,4.454858 
42,1.848005,-1.727580,1.872334,6.029788 
43,2.666378,-1.895758,0.869326,13.445003 
44,0.668616,-0.008994,18.916196,20.000660 
45,-4.580419,-1.562098,16.612416,7.561427 
46,0.280670,0.003414,9.046232,6.200135 
47,0.557817,-2.806069,9.359376,6.200378 
48,0.197348,0.775841,6.816372,12.655304 
49,-0.733654,-1.876460,1.514010,10.089056 
50,0.208413,-0.254489,7.869314,10.874292 
51,0.959333,-2.703335,19.889152,11.369430 
52,-1.193946,1.729204,19.660892,15.679373 
53,-1.056703,1.332064,6.878854,14.149699 
54,-1.349485,0.332395,15.116993,10.011006 
55,-3.031496,3.802693,7.728545,4.993020 
56,3.732750,-1.861935,11.081789,19.202045 
57,2.379468,-2.406194,18.859321,12.683834 
58,3.891579,-2.670093,14.127009,17.119303 
59,0.254782,0.871126,1.577270,16.018552 
60,3.153677,4.315234,1.010007,9.490137 
61,3.273044,-0.152822,8.496894,6.349863 
62,2.876803,3.011864,14.948917,8.904379 
63,-0.338541,0.332550,10.762615,1.624519 
64,3.700537,2.698150,13.682580,10.176764 
65,-1.347088,4.445056,18.063152,10.235109 
66,0.514209,0.792466,14.535218,15.122824 
67,-2.743636,2.057413,7.028732,12.240041 
68,-1.440174,-2.483126,17.703296,19.942870 
69,0.679430,1.051509,0.653306,5.316949 
70,0.486824,0.080786,3.416321,8.675593 
71,4.225533,0.715147,10.840508,17.667458 
72,-2.574824,-1.568598,12.163096,0.660736 
73,-0.476574,-0.258870,0.607551,13.284714 
74,-3.576739,2.852049,6.751929,18.357434 
75,-1.117210,3.293030,0.966156,6.382116 
76,-0.562030,-0.008142,19.601283,8.734845 
77,2.168529,0.303416,7.413511,1.962055 
78,1.250333,-1.502333,17.747931,7.161038 
79,-3.384601,-0.803171,13.187364,5.232640 
80,0.149372,-1.200387,4.988598,16.656932 
81,-0.749396,-0.596960,17.201580,4.203347 
82,2.303566,-0.455396,10.182649,15.053944 
83,-1.039495,1.203892,6.578724,7.641698 
84,0.272797,-0.562514,16.221249,10.296419 
85,-3.443400,0.181945,3.172539,18.168767 
86,0.128703,-1.782425,6.086564,14.865358 
87,0.425834,-4.306432,7.123945,7.573275 
88,0.378991,-0.593351,11.835000,6.077207 
89,0.247905,1.873981,4.233533,16.681265 
90,0.907224,1.786203,16.595108,8.584913 
91,-1.384510,3.052311,14.453703,9.556439 
92,4.128982,1.390930,19.836386,0.739316 
93,-2.268487,1.687835,12.394430,11.662502 
94,1.232000,2.063861,1.679437,6.546882 
95,3.473040,1.132389,19.980364,3.980600 
96,3.400401,2.994683,2.566880,10.532811 
97,-3.884034,-2.542293,18.456131,16.525694 
98,0.331232,-2.540266,5.895882,10.037590 
99,-3.286823,1.043613,2.974985,12.588138 


t = 0.005000
0,2.604716,1.207648,3.885140,6.426816 
1,-3.820932,-1.144508,7.598032,3.736980 
2,-0.362987,-1.753261,0.765242,9.643220 
